problem_id,correct_score_arabic,incorrect_mean_arabic,discrimination_gap_arabic,correct_score_english,incorrect_mean_english,discrimination_gap_english
1,0.8512127995491028,0.8272252256671587,0.023987573881944058,0.9882538542151452,0.5545225357969424,0.4337313184182028
2,0.5563467852771282,0.6117841576536497,-0.055437372376521465,0.988891065120697,0.568203206584301,0.420687858536396
3,0.4477143436670303,0.3484327160216198,0.09928162764541049,0.6062664985656738,0.3754409227234425,0.23082557584223135
4,0.4429186483224233,0.34993717127612656,0.09298147704629672,0.9634035925070444,0.5536827922074331,0.40972080029961133
5,0.728871979883739,0.44443911792976515,0.2844328619539738,0.9548280835151672,0.5778600520838703,0.376968031431297
6,0.2733311759574072,0.21271394400133023,0.06061723195607696,0.945620576540629,0.6167919024204215,0.32882867412020755
7,0.478279777935573,0.427093290324722,0.05118648761085104,0.9354671835899352,0.5623499370911823,0.3731172464987529
8,0.6063505858182907,0.45381203373628004,0.15253855208201067,0.9779049083590508,0.5696308853636894,0.4082740229953613
9,0.4901437163352966,0.3083766162809398,0.18176710005435676,0.9497405375753132,0.5142053031466073,0.4355352344287059
10,0.4518685340881347,0.31230799197441056,0.13956054211372415,0.9586030840873718,0.5634586764647375,0.39514440762263436
11,0.5389756659666697,0.4432608304279191,0.0957148355387506,0.9523230691750844,0.5841888437372824,0.36813422543780194
12,0.6565650956971305,0.48806794780114343,0.16849714789598708,0.9290284258978708,0.6999794284975719,0.22904899740029894
13,0.4455618262290954,0.34402165739309215,0.10154016883600325,0.9502313988549368,0.6052433199116162,0.3449880789433206
14,0.1500007721285025,0.13988130953576824,0.010119462592734246,0.9190716544787088,0.5475042429752648,0.37156741150344397
15,0.4263289216905832,0.38689630571752787,0.03943261597305531,0.9620246961712836,0.5686873369406732,0.3933373592306104
16,0.6410617480675379,0.44224777186496383,0.19881397620257407,0.935945858558019,0.6080451176634857,0.32790074089453336
17,0.7177494019269943,0.5239672838813728,0.1937821180456215,0.9883577724297842,0.5825355009486278,0.40582227148115635
18,0.3435120156833103,0.26298041251443677,0.08053160316887353,0.9193852714129856,0.5817458299653872,0.3376394414475985
19,0.4066846321026484,0.31456212554540897,0.09212250655723941,0.9579802751541138,0.6148159755246033,0.34316429962951045
20,0.5796234032937458,0.43022964114234563,0.1493937621514002,0.79053852387837,0.6014864634545076,0.18905206042386236
