problem_id,arabic_correct,english_correct,english_minus_arabic
1,1,1,0
2,0,1,1
3,0,0,0
4,0,0,0
5,1,1,0
6,0,0,0
7,0,1,1
8,0,0,0
9,0,1,1
10,0,1,1
11,0,1,1
12,0,1,1
13,1,1,0
14,1,1,0
15,0,0,0
16,0,1,1
17,0,1,1
18,1,1,0
19,1,0,-1
20,0,0,0
21,0,1,1
22,0,1,1
23,1,1,0
24,0,1,1
25,1,1,0
26,0,1,1
27,0,1,1
28,0,0,0
29,0,0,0
30,0,1,1
31,1,1,0
32,0,1,1
33,0,0,0
34,0,1,1
35,0,0,0
36,0,0,0
37,1,1,0
38,0,0,0
39,1,1,0
40,0,1,1
41,0,1,1
42,0,0,0
43,0,0,0
44,0,1,1
45,0,1,1
46,0,0,0
47,0,0,0
48,1,0,-1
49,0,1,1
50,1,1,0
51,0,1,1
52,0,1,1
53,0,0,0
54,0,1,1
55,0,0,0
56,1,1,0
57,0,1,1
58,1,1,0
59,0,0,0
60,1,0,-1
61,0,1,1
62,0,0,0
63,1,0,-1
64,0,0,0
65,1,1,0
66,0,1,1
67,0,0,0
68,0,1,1
69,0,1,1
70,1,1,0
71,0,0,0
72,0,1,1
73,0,0,0
74,0,1,1
75,0,1,1
76,0,0,0
77,0,0,0
78,0,1,1
79,1,1,0
80,0,1,1
81,0,1,1
82,1,1,0
83,1,0,-1
84,0,0,0
85,0,0,0
86,0,0,0
87,0,1,1
88,0,0,0
89,0,1,1
90,0,0,0
91,0,1,1
92,0,1,1
93,0,1,1
94,0,1,1
95,0,0,0
96,0,0,0
97,0,1,1
98,0,0,0
99,1,1,0
100,0,1,1
