problem_id,category,problem,response,num_steps,average_score,minimum_score,maximum_score,step_scores
1,correct,لدى أحمد 20 تفاحة. أعطى 7 تفاحات لصديقه، ثم اشترى 5 تفاحات أخرى. كم تفاحة لديه الآن؟,"في البداية، لدى أحمد 20 تفاحة.
أعطى أحمد 7 تفاحات لصديقه، لذلك:
20 - 7 = 13 تفاحة.
بعد ذلك، اشترى 5 تفاحات أخرى:
13 + 5 = 18 تفاحة.
إذن، لدى أحمد 18 تفاحة.",8,0.8512127995491028,0.7439721822738647,0.9351658821105957,0.8198 0.7440 0.8502 0.8986 0.9352 0.8862 0.8462 0.8295
1,arithmetic_error,لدى أحمد 20 تفاحة. أعطى 7 تفاحات لصديقه، ثم اشترى 5 تفاحات أخرى. كم تفاحة لديه الآن؟,"في البداية، لدى أحمد 20 تفاحة.
أعطى أحمد 7 تفاحات لصديقه:
20 - 7 = 13 تفاحة.
بعد ذلك، اشترى 5 تفاحات أخرى:
13 + 5 = 19 تفاحة.
إذن، لدى أحمد 19 تفاحة.",8,0.856935165822506,0.7439721822738647,0.931064784526825,0.8198 0.7440 0.8612 0.8997 0.9311 0.8973 0.8614 0.8411
1,logic_error,لدى أحمد 20 تفاحة. أعطى 7 تفاحات لصديقه، ثم اشترى 5 تفاحات أخرى. كم تفاحة لديه الآن؟,"في البداية، لدى أحمد 20 تفاحة.
أعطى أحمد 7 تفاحات لصديقه، لذلك:
20 + 7 = 27 تفاحة.
بعد ذلك، اشترى 5 تفاحات:
27 + 5 = 32 تفاحة.
إذن، لديه 32 تفاحة.",8,0.817154735326767,0.7363802194595337,0.9064163565635681,0.8198 0.7440 0.8502 0.8701 0.9064 0.8280 0.7823 0.7364
1,completely_wrong,لدى أحمد 20 تفاحة. أعطى 7 تفاحات لصديقه، ثم اشترى 5 تفاحات أخرى. كم تفاحة لديه الآن؟,"لدى أحمد 20 تفاحة.
أعطى 7 تفاحات ثم اشترى 5 تفاحات.
نحسب:
20 - 7 - 5 = 8.
إذن، لديه 8 تفاحات.",7,0.8075857758522034,0.6745055913925171,0.9299880862236023,0.8198 0.9161 0.9300 0.8393 0.7525 0.6745 0.7209
2,correct,لدى سارة 15 كتابًا. أعطت 4 كتب لأختها ثم اشترت 6 كتب جديدة. كم كتابًا لديها الآن؟,"لدى سارة 15 كتابًا.
أعطت 4 كتب لأختها:
15 - 4 = 11 كتابًا.
ثم اشترت 6 كتب:
11 + 6 = 17 كتابًا.
إذن، لديها 17 كتابًا.",8,0.5563467852771282,0.26315099000930786,0.8553033471107483,0.4645 0.7369 0.7436 0.8553 0.8331 0.2784 0.2632 0.2759
2,arithmetic_error,لدى سارة 15 كتابًا. أعطت 4 كتب لأختها ثم اشترت 6 كتب جديدة. كم كتابًا لديها الآن؟,"لدى سارة 15 كتابًا.
أعطت 4 كتب:
15 - 4 = 11 كتابًا.
ثم اشترت 6 كتب:
11 + 6 = 16 كتابًا.
إذن، لديها 16 كتابًا.",8,0.5823618546128273,0.3146902620792389,0.8713563680648804,0.4645 0.7369 0.7233 0.8582 0.8714 0.3468 0.3147 0.3432
2,logic_error,لدى سارة 15 كتابًا. أعطت 4 كتب لأختها ثم اشترت 6 كتب جديدة. كم كتابًا لديها الآن؟,"لدى سارة 15 كتابًا.
أعطت 4 كتب لأختها، لذلك:
15 + 4 = 19 كتابًا.
ثم اشترت 6 كتب:
19 + 6 = 25 كتابًا.
إذن، لديها 25 كتابًا.",8,0.525117352604866,0.40892621874809265,0.7368977069854736,0.4645 0.7369 0.6506 0.5943 0.4106 0.5162 0.4089 0.4190
2,completely_wrong,لدى سارة 15 كتابًا. أعطت 4 كتب لأختها ثم اشترت 6 كتب جديدة. كم كتابًا لديها الآن؟,"لدى سارة 15 كتابًا.
أعطت 4 كتب ثم اشترت 6 كتب.
نحسب:
15 - 4 - 6 = 5.
إذن، لديها 5 كتب.",7,0.7278732657432556,0.4644506573677063,0.8594345450401306,0.4645 0.7369 0.7919 0.6506 0.8594 0.8296 0.7622
3,correct,اشترى محمد 8 أقلام، وكان لديه 12 قلمًا في المنزل. أعطى 5 أقلام لصديقه. كم قلمًا بقي لديه؟,"كان لدى محمد 12 قلمًا.
اشترى 8 أقلام أخرى:
12 + 8 = 20 قلمًا.
ثم أعطى 5 أقلام لصديقه:
20 - 5 = 15 قلمًا.
إذن، بقي لديه 15 قلمًا.",8,0.44771434366703033,0.257581889629364,0.6495310068130493,0.2576 0.3189 0.2702 0.4035 0.5139 0.6440 0.6495 0.5241
3,arithmetic_error,اشترى محمد 8 أقلام، وكان لديه 12 قلمًا في المنزل. أعطى 5 أقلام لصديقه. كم قلمًا بقي لديه؟,"كان لدى محمد 12 قلمًا.
اشترى 8 أقلام:
12 + 8 = 20 قلمًا.
ثم أعطى 5 أقلام:
20 - 5 = 16 قلمًا.
إذن، بقي لديه 16 قلمًا.",8,0.44228192046284676,0.257581889629364,0.6471465229988098,0.2576 0.3189 0.2681 0.3872 0.5133 0.6151 0.6471 0.5309
3,logic_error,اشترى محمد 8 أقلام، وكان لديه 12 قلمًا في المنزل. أعطى 5 أقلام لصديقه. كم قلمًا بقي لديه؟,"كان لدى محمد 12 قلمًا.
اشترى 8 أقلام.
بدلًا من جمع الأقلام، نحسب:
12 - 8 = 4 أقلام.
ثم أعطى 5 أقلام:
4 - 5 = -1 قلم.
إذن، بقي لديه قلم واحد.",9,0.29716834012005067,0.0926654115319252,0.5754090547561646,0.2576 0.3189 0.4254 0.2699 0.4501 0.5754 0.1628 0.1218 0.0927
3,completely_wrong,اشترى محمد 8 أقلام، وكان لديه 12 قلمًا في المنزل. أعطى 5 أقلام لصديقه. كم قلمًا بقي لديه؟,"كان لدى محمد 12 قلمًا واشترى 8 أقلام.
ثم أعطى 5 أقلام.
نحسب:
12 + 8 + 5 = 25.
إذن، لديه 25 قلمًا.",7,0.30584788748196196,0.20596365630626678,0.49008050560951233,0.2576 0.3466 0.4901 0.3632 0.2604 0.2170 0.2060
4,correct,لدى ليلى 30 قطعة حلوى. أعطت 12 قطعة لأصدقائها. كم قطعة بقيت؟,"لدى ليلى 30 قطعة حلوى.
أعطت 12 قطعة لأصدقائها:
30 - 12 = 18.
إذن، بقي لديها 18 قطعة.",6,0.4429186483224233,0.31694328784942627,0.6157220602035522,0.3169 0.3525 0.5168 0.6157 0.4595 0.3961
4,arithmetic_error,لدى ليلى 30 قطعة حلوى. أعطت 12 قطعة لأصدقائها. كم قطعة بقيت؟,"لدى ليلى 30 قطعة حلوى.
أعطت 12 قطعة:
30 - 12 = 20.
إذن، بقي لديها 20 قطعة.",6,0.25573685641090077,0.12050379067659378,0.4887138903141022,0.3169 0.3525 0.4887 0.1299 0.1205 0.1259
4,logic_error,لدى ليلى 30 قطعة حلوى. أعطت 12 قطعة لأصدقائها. كم قطعة بقيت؟,"لدى ليلى 30 قطعة حلوى.
أعطت 12 قطعة لأصدقائها، لذلك:
30 + 12 = 42.
إذن، بقي لديها 42 قطعة.",6,0.41411428650220233,0.31694328784942627,0.5387993454933167,0.3169 0.3525 0.4580 0.5388 0.4220 0.3965
4,completely_wrong,لدى ليلى 30 قطعة حلوى. أعطت 12 قطعة لأصدقائها. كم قطعة بقيت؟,"لدى ليلى 30 قطعة حلوى.
أعطت 12 قطعة.
نحسب:
30 - 12 - 12 = 6.
إذن، بقي لديها 6 قطع.",7,0.3799603709152767,0.25651970505714417,0.5383817553520203,0.3169 0.3525 0.4993 0.5384 0.4155 0.2805 0.2565
